Date,GM_AC,F_AC,MRK_AC,PFE_AC,MSFT_AC,,,,,,
2-Jan-87,11.45,2.31,4.02,1.67,0.14,,,,,,
5-Jan-87,11.73,2.4,4.1,1.72,0.15,,,,,,
6-Jan-87,11.77,2.43,4.07,1.75,0.15,,,,,,
7-Jan-87,11.83,2.53,4.08,1.76,0.16,,,,,,
8-Jan-87,11.66,2.51,4.13,1.78,0.17,,,,,,
9-Jan-87,11.77,2.55,4.11,1.78,0.17,,,,,,
12-Jan-87,11.75,2.6,4.06,1.78,0.19,,,,,,
13-Jan-87,11.64,2.64,4.03,1.74,0.18,,,,,,
14-Jan-87,11.55,2.76,4.07,1.75,0.18,,,,,,
15-Jan-87,11.73,2.82,4.24,1.76,0.19,,,,,,
16-Jan-87,11.77,2.8,4.34,1.77,0.19,,,,,,
19-Jan-87,11.98,2.81,4.34,1.77,0.19,,,,,,
20-Jan-87,12.17,2.85,4.24,1.76,0.2,,,,,,
21-Jan-87,12.11,2.88,4.26,1.73,0.2,,,,,,
22-Jan-87,12.39,3.07,4.36,1.8,0.22,,,,,,
23-Jan-87,12,2.97,4.28,1.79,0.2,,,,,,
26-Jan-87,11.98,2.96,4.27,1.78,0.21,,,,,,
27-Jan-87,12.26,3.02,4.36,1.83,0.22,,,,,,
28-Jan-87,12.32,3.01,4.46,1.88,0.22,,,,,,
29-Jan-87,12.88,3.01,4.34,1.86,0.21,,,,,,
30-Jan-87,12.88,3,4.38,1.84,0.22,,,,,,
2-Feb-87,13.33,3.06,4.43,1.87,0.22,,,,,,
3-Feb-87,13.09,3.07,4.41,1.87,0.22,,,,,,
4-Feb-87,13.41,3.11,4.39,1.87,0.22,,,,,,
5-Feb-87,13.69,3.21,4.37,1.87,0.22,,,,,,
6-Feb-87,13.24,3.12,4.36,1.87,0.21,,,,,,
9-Feb-87,13.24,3.05,4.34,1.87,0.21,,,,,,
10-Feb-87,13.15,2.97,4.29,1.85,0.21,,,,,,
11-Feb-87,13.06,3.03,4.26,1.87,0.22,,,,,,
12-Feb-87,13.06,3.02,4.34,1.88,0.23,,,,,,
13-Feb-87,13.22,3.07,4.45,1.92,0.23,,,,,,
17-Feb-87,13.52,3.18,4.59,2.08,0.23,,,,,,
18-Feb-87,13.43,3.18,4.51,2.03,0.22,,,,,,
19-Feb-87,13.48,3.19,4.71,2.03,0.21,,,,,,
20-Feb-87,13.35,3.14,4.77,2.01,0.2,,,,,,
23-Feb-87,13.32,3.1,4.73,1.96,0.22,,,,,,
24-Feb-87,13.37,3.11,4.86,1.97,0.23,,,,,,
25-Feb-87,13.04,3.13,4.95,2,0.22,,,,,,
26-Feb-87,12.93,3.07,4.89,1.99,0.23,,,,,,
27-Feb-87,12.98,3.08,4.92,1.98,0.23,,,,,,
2-Mar-87,13,3.12,4.97,1.93,0.22,,,,,,
3-Mar-87,13.15,3.1,5.02,1.92,0.22,,,,,,
4-Mar-87,13.82,3.2,5.07,1.97,0.24,,,,,,
5-Mar-87,13.58,3.22,5.14,1.99,0.25,,,,,,
6-Mar-87,13.48,3.27,5.18,1.99,0.25,,,,,,
9-Mar-87,13.65,3.3,5.09,1.97,0.25,,,,,,
10-Mar-87,13.74,3.31,5.12,2,0.25,,,,,,
11-Mar-87,13.61,3.33,5.07,2.04,0.26,,,,,,
12-Mar-87,13.56,3.29,5.01,2.01,0.26,,,,,,
13-Mar-87,13.54,3.22,4.9,2,0.25,,,,,,
16-Mar-87,13.39,3.17,4.97,1.99,0.25,,,,,,
17-Mar-87,13.5,3.24,5.13,2.01,0.26,,,,,,
18-Mar-87,13.45,3.24,5.13,2.02,0.27,,,,,,
19-Mar-87,13.52,3.26,5.11,2.04,0.27,,,,,,
20-Mar-87,13.58,3.28,5.24,2.05,0.27,,,,,,
23-Mar-87,13.78,3.32,5.22,2.06,0.27,,,,,,
24-Mar-87,13.8,3.29,5.21,2.06,0.27,,,,,,
25-Mar-87,13.8,3.38,5.12,2.02,0.27,,,,,,
26-Mar-87,13.91,3.4,5.21,2.03,0.27,,,,,,
27-Mar-87,13.54,3.36,5.08,1.98,0.28,,,,,,
30-Mar-87,13.37,3.31,4.9,1.95,0.29,,,,,,
31-Mar-87,13.58,3.4,4.95,1.97,0.29,,,,,,
1-Apr-87,13.69,3.51,4.99,1.98,0.27,,,,,,
2-Apr-87,13.67,3.47,5.01,2.01,0.29,,,,,,
3-Apr-87,13.87,3.53,5.18,2.04,0.3,,,,,,
6-Apr-87,14.17,3.64,5.3,2.05,0.3,,,,,,
7-Apr-87,14.3,3.59,5.12,1.98,0.28,,,,,,
8-Apr-87,14.65,3.58,5.22,1.99,0.29,,,,,,
9-Apr-87,14.48,3.48,5.17,1.95,0.29,,,,,,
10-Apr-87,14.95,3.48,5.21,1.96,0.29,,,,,,
13-Apr-87,14.65,3.44,5.12,1.89,0.28,,,,,,
14-Apr-87,14.41,3.32,5.07,1.86,0.28,,,,,,
15-Apr-87,14.95,3.34,4.99,1.79,0.29,,,,,,
16-Apr-87,15.08,3.42,4.91,1.84,0.3,,,,,,
20-Apr-87,14.91,3.33,4.87,1.81,0.29,,,,,,
21-Apr-87,15.5,3.45,4.97,1.89,0.29,,,,,,
22-Apr-87,15.19,3.42,4.86,1.82,0.3,,,,,,
23-Apr-87,15.28,3.44,4.87,1.84,0.3,,,,,,
24-Apr-87,15,3.32,4.75,1.8,0.3,,,,,,
27-Apr-87,15.06,3.28,4.7,1.83,0.3,,,,,,
28-Apr-87,15,3.33,4.71,1.87,0.32,,,,,,
29-Apr-87,15.19,3.57,4.67,1.89,0.31,,,,,,
30-Apr-87,15.65,3.71,4.72,1.92,0.31,,,,,,
1-May-87,15.93,3.99,4.72,1.88,0.32,,,,,,
4-May-87,15.87,3.97,4.78,1.89,0.32,,,,,,
5-May-87,15.95,3.97,5,1.91,0.35,,,,,,
6-May-87,15.95,4.03,4.89,1.9,0.34,,,,,,
7-May-87,15.91,4.08,4.91,1.87,0.36,,,,,,
8-May-87,15.82,4.07,4.9,1.86,0.38,,,,,,
11-May-87,15.82,3.96,4.85,1.82,0.37,,,,,,
12-May-87,15.87,3.93,4.92,1.84,0.36,,,,,,
13-May-87,15.78,3.98,4.9,1.85,0.37,,,,,,
14-May-87,15.6,3.93,4.89,1.83,0.37,,,,,,
15-May-87,15.45,3.82,4.8,1.77,0.36,,,,,,
18-May-87,15.36,3.7,4.77,1.74,0.35,,,,,,
19-May-87,15.01,3.63,4.72,1.7,0.33,,,,,,
20-May-87,14.79,3.58,4.76,1.69,0.33,,,,,,
21-May-87,14.65,3.62,4.82,1.71,0.34,,,,,,
22-May-87,14.85,3.69,4.9,1.72,0.33,,,,,,
26-May-87,14.94,3.75,4.88,1.78,0.33,,,,,,
27-May-87,14.79,3.74,4.94,1.78,0.33,,,,,,
28-May-87,15.03,3.68,5.06,1.79,0.35,,,,,,
29-May-87,15.03,3.7,5.07,1.78,0.35,,,,,,
1-Jun-87,15.03,3.74,5.01,1.79,0.34,,,,,,
2-Jun-87,14.87,3.72,4.96,1.8,0.34,,,,,,
3-Jun-87,15.23,3.85,5.11,1.87,0.34,,,,,,
4-Jun-87,15.23,3.84,5.14,1.89,0.34,,,,,,
5-Jun-87,15.14,3.82,5.16,1.87,0.33,,,,,,
8-Jun-87,15.21,3.84,5.23,1.89,0.33,,,,,,
9-Jun-87,15.18,3.86,5.25,1.89,0.33,,,,,,
10-Jun-87,14.81,3.82,5.31,1.9,0.31,,,,,,
11-Jun-87,14.87,3.81,5.29,1.92,0.29,,,,,,
12-Jun-87,14.79,3.8,5.28,1.92,0.3,,,,,,
15-Jun-87,14.74,3.96,5.33,1.91,0.3,,,,,,
16-Jun-87,14.59,4,5.31,1.92,0.3,,,,,,
17-Jun-87,14.48,3.87,5.27,1.92,0.31,,,,,,
18-Jun-87,14.63,3.89,5.21,1.91,0.32,,,,,,
19-Jun-87,14.7,3.91,5.32,1.92,0.31,,,,,,
22-Jun-87,14.81,3.92,5.43,1.95,0.31,,,,,,
23-Jun-87,14.81,3.93,5.47,2.01,0.31,,,,,,
24-Jun-87,14.81,3.95,5.45,1.98,0.32,,,,,,
25-Jun-87,14.83,4.06,5.5,2,0.31,,,,,,
26-Jun-87,14.76,4.15,5.52,2.01,0.32,,,,,,
29-Jun-87,14.79,4.1,5.54,2,0.31,,,,,,
30-Jun-87,14.57,4.03,5.47,1.97,0.31,,,,,,
1-Jul-87,14.35,4.01,5.58,1.95,0.31,,,,,,
2-Jul-87,14.32,4.05,5.7,1.99,0.3,,,,,,
6-Jul-87,14.1,3.98,5.61,1.98,0.29,,,,,,
7-Jul-87,14.24,4.06,5.64,1.98,0.27,,,,,,
8-Jul-87,14.28,4.13,5.69,1.96,0.28,,,,,,
9-Jul-87,14.21,4.11,5.69,1.96,0.29,,,,,,
10-Jul-87,14.41,4.15,5.66,1.97,0.29,,,,,,
13-Jul-87,14.68,4.21,5.61,1.93,0.3,,,,,,
14-Jul-87,15.03,4.34,5.76,1.94,0.32,,,,,,
15-Jul-87,14.87,4.34,5.76,1.95,0.31,,,,,,
16-Jul-87,14.68,4.36,5.88,1.96,0.31,,,,,,
17-Jul-87,14.74,4.4,5.88,1.97,0.31,,,,,,
